stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.02673260000301525,,0.009385600002133287,0.02673260000301525,0.561293899998418,0.561293899998418,0.5781701999949291,0.774510499992175,right,10.0,1,1,0.17896670001209714,,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
1,2,8.0,0.7934203000040725,,0.7747099999978673,0.7934203000040725,1.2791448999923887,1.2791448999923887,1.2952402999944752,1.647872899993672,right,8.0,1,1,0.3513282999920193,1.5792264999909094,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
2,2,6.0,1.661289299998316,,1.648127199994633,1.661289299998316,2.1621223999973154,2.1621223999973154,2.1621223999973154,2.564251999996486,left,-6.0,1,1,0.39391120000800584,2.462359800003469,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
3,2,4.0,2.5786521999980323,,2.564428300000145,2.5786521999980323,3.0786420999938855,3.0786420999938855,3.0786420999938855,3.396722299992689,right,4.0,1,1,0.3051792000042042,3.3786853999918094,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
4,2,2.0,3.4115560999925947,,3.3968747000035364,3.4115560999925947,3.911895299999742,3.911895299999742,3.911895299999742,4.29702919999545,right,2.0,1,1,0.37121949999709614,4.212290099996608,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
5,2,1.0,4.311902400004328,,4.297178599998006,4.311902400004328,4.812732399994275,4.812732399994275,4.812732399994275,5.130754400001024,left,-1.0,1,1,0.31320429999323096,5.1121959000010975,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
6,2,1.0,5.145797000004677,,5.130901700002141,5.145797000004677,5.645301099997596,5.645301099997596,5.645301099997596,5.999214800001937,right,1.0,1,1,0.34577169999829493,5.945594299992081,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
7,2,1.0,6.0140500999987125,,5.999382199996035,6.0140500999987125,6.512208500003908,6.512208500003908,6.528819200000726,6.847381500003394,right,1.0,1,1,0.3206971000035992,6.812257300000056,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
8,2,1.0,6.862675600001239,,6.847554699998,6.862675600001239,7.361996799998451,7.361996799998451,7.361996799998451,7.796659699990414,left,-1.0,1,1,0.42563510000763927,7.661782199997106,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
9,2,1.0,7.812448700002278,,7.796861099996022,7.812448700002278,8.312232800002676,8.312232800002676,8.312232800002676,8.781288899990614,left,-1.0,1,1,0.45344199999817647,8.612256799999159,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
10,2,1.0,8.795793900004355,,8.781461599995964,8.795793900004355,9.295729999998002,9.295729999998002,9.295729999998002,9.597200299991528,right,1.0,1,1,0.29298180001205765,9.59522659999493,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
11,2,1.0,9.61168539999926,,9.597409900001367,9.61168539999926,10.111922099997173,10.111922099997173,10.111922099997173,10.530679599993164,left,-1.0,1,1,0.4081269999878714,10.412197999990894,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
12,1,1.0,10.546022099995753,,10.530823499997496,10.546022099995753,11.04561499999545,11.04561499999545,11.04561499999545,11.346694599997136,left,-1.0,0,0,0.28716459999850485,11.344938599999296,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
13,1,2.0,11.361964299998363,,11.346870199995465,11.361964299998363,11.862023499998031,11.862023499998031,11.862023499998031,12.181002099998295,right,2.0,1,1,0.3162460000021383,12.161476499997661,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
14,1,2.0,12.195002499996917,,12.181133799997042,12.195002499996917,12.695450600003824,12.695450600003824,12.695450600003824,12.981071200003498,right,2.0,1,1,0.27903499999956694,12.995015899999999,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
15,1,2.0,12.995015899999999,,12.981208199998946,12.995015899999999,13.495456699994975,13.495456699994975,13.495456699994975,13.914721199995256,left,-2.0,1,1,0.4121318999968935,13.795213399993372,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
16,1,1.0,13.929098099994007,,13.914869500003988,13.929098099994007,14.428649299996323,14.428649299996323,14.428649299996323,14.8822943999985,right,1.0,1,1,0.44799000000057276,14.728371699995478,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
17,1,1.0,14.89498630000162,,14.882448199990904,14.89498630000162,15.395260299992515,15.395260299992515,15.395260299992515,15.731354100003955,right,1.0,1,1,0.3271075000084238,15.695659299992258,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
18,1,1.0,15.745329700002912,,15.731507499993313,15.745329700002912,16.245807400002377,16.245807400002377,16.245807400002377,16.631252499995753,left,-1.0,1,1,0.38100540000596084,16.545730400001048,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
19,1,1.0,16.645086899996386,,16.63142710000102,16.645086899996386,17.14550909999525,17.14550909999525,17.14550909999525,17.365689999991446,right,1.0,1,1,0.21255300000484567,,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
20,1,1.0,17.378883099998347,,17.365882899990538,17.378883099998347,17.879576699997415,17.879576699997415,17.879576699997415,18.297378100003698,left,-1.0,1,1,0.39983750000828877,18.196014699991792,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
21,0.5,1.0,18.313113399999565,,18.29752579999331,18.313113399999565,18.81196550000459,18.81196550000459,18.829595299990615,18.98069119999127,left,-1.0,0,0,0.15891980000014883,,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
22,0.5,1.5,18.99574529999518,,18.980916999993497,18.99574529999518,19.4954066999926,19.4954066999926,19.4954066999926,19.814555000004475,left,-1.5,0,0,0.30801820001215674,19.79589369999303,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
23,0.5,2.0,19.82900109999173,,19.814701199997216,19.82900109999173,20.328909000003478,20.328909000003478,20.328909000003478,20.764693099990836,left,-2.0,1,1,0.43012869999802206,20.628936299995985,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
24,0.5,2.0,20.779148300003726,,20.76486149999255,20.779148300003726,21.278328599990346,21.278328599990346,21.278328599990346,21.64764149999246,left,-2.0,0,0,0.3539762000000337,21.578555100000813,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
